Date,Solar,Grid IE,Pilot,Charge Power,Min Charge Power,State,Smoothed Available
01/01/2020 00:15:00,0,0,0,0,1440,254,0
01/01/2020 00:30:00,0,0,0,0,1440,254,0
01/01/2020 00:45:00,0,0,0,0,1440,254,0
01/01/2020 01:00:00,0,0,0,0,1440,254,0
01/01/2020 01:15:00,0,0,0,0,1440,254,0
01/01/2020 01:30:00,0,0,0,0,1440,254,0
01/01/2020 01:45:00,0,0,0,0,1440,254,0
01/01/2020 02:00:00,0,0,0,0,1440,254,0
01/01/2020 02:15:00,0,0,0,0,1440,254,0
01/01/2020 02:30:00,0,0,0,0,1440,254,0
01/01/2020 02:45:00,0,0,0,0,1440,254,0
01/01/2020 03:00:00,0,0,0,0,1440,254,0
01/01/2020 03:15:00,0,0,0,0,1440,254,0
01/01/2020 03:30:00,0,0,0,0,1440,254,0
01/01/2020 03:45:00,0,0,0,0,1440,254,0
01/01/2020 04:00:00,0,0,0,0,1440,254,0
01/01/2020 04:15:00,0,0,0,0,1440,254,0
01/01/2020 04:30:00,0,0,0,0,1440,254,0
01/01/2020 04:45:00,0,0,0,0,1440,254,0
01/01/2020 05:00:00,0,0,0,0,1440,254,0
01/01/2020 05:15:00,0,0,0,0,1440,254,0
01/01/2020 05:30:00,0,0,0,0,1440,254,0
01/01/2020 05:45:00,0,0,0,0,1440,254,0
01/01/2020 06:00:00,0,0,0,0,1440,254,0
01/01/2020 06:15:00,0,0,0,0,1440,254,0
01/01/2020 06:30:00,0,0,0,0,1440,254,0
01/01/2020 06:45:00,0,0,0,0,1440,254,0
01/01/2020 07:00:00,16,0,0,0,1440,254,16
01/01/2020 07:15:00,68,0,0,0,1440,254,68
01/01/2020 07:30:00,124,0,0,0,1440,254,124
01/01/2020 07:45:00,180,0,0,0,1440,254,180
01/01/2020 08:00:00,292,0,0,0,1440,254,292
01/01/2020 08:15:00,508,0,0,0,1440,254,508
01/01/2020 08:30:00,700,0,0,0,1440,254,700
01/01/2020 08:45:00,1064,0,0,0,1440,254,1064
01/01/2020 09:00:00,1524,0,0,0,1440,254,1524
01/01/2020 09:15:00,2108,0,8,1920,1440,3,2108
01/01/2020 09:30:00,2292,0,9,2160,1440,3,2292
01/01/2020 09:45:00,2312,0,9,2160,1440,3,2312
01/01/2020 10:00:00,2564,0,10,2400,1440,3,2564
01/01/2020 10:15:00,3008,0,12,2880,1440,3,3008
01/01/2020 10:30:00,3488,0,14,3360,1440,3,3488
01/01/2020 10:45:00,3960,0,16,3840,1440,3,3960
01/01/2020 11:00:00,4744,0,19,4560,1440,3,4744
01/01/2020 11:15:00,5272,0,21,5040,1440,3,5272
01/01/2020 11:30:00,4812,0,20,4800,1440,3,4812.25
01/01/2020 11:45:00,4996,0,20,4800,1440,3,4996
01/01/2020 12:00:00,3532,0,14,3360,1440,3,3532.81
01/01/2020 12:15:00,4176,0,17,4080,1440,3,4176
01/01/2020 12:30:00,3064,0,12,2880,1440,3,3064.62
01/01/2020 12:45:00,2564,0,10,2400,1440,3,2564.28
01/01/2020 13:00:00,2848,0,11,2640,1440,3,2848
01/01/2020 13:15:00,2336,0,9,2160,1440,3,2336.28
01/01/2020 13:30:00,2780,0,11,2640,1440,3,2780
01/01/2020 13:45:00,4440,0,18,4320,1440,3,4440
01/01/2020 14:00:00,3920,0,16,3840,1440,3,3920.29
01/01/2020 14:15:00,2860,0,11,2640,1440,3,2860.59
01/01/2020 14:30:00,1848,0,7,1680,1440,3,1848.56
01/01/2020 14:45:00,1712,0,7,1680,1440,3,1712.08
01/01/2020 15:00:00,1272,0,0,0,1440,254,1272.24
01/01/2020 15:15:00,1140,0,0,0,1440,254,1140.07
01/01/2020 15:30:00,1056,0,0,0,1440,254,1056.05
01/01/2020 15:45:00,988,0,0,0,1440,254,988.038
01/01/2020 16:00:00,928,0,0,0,1440,254,928.033
01/01/2020 16:15:00,696,0,0,0,1440,254,696.128
01/01/2020 16:30:00,584,0,0,0,1440,254,584.062
01/01/2020 16:45:00,744,0,0,0,1440,254,744
01/01/2020 17:00:00,1140,0,0,0,1440,254,1140
01/01/2020 17:15:00,1032,0,0,0,1440,254,1032.06
01/01/2020 17:30:00,1584,0,6,1440,1440,3,1584
01/01/2020 17:45:00,1256,0,0,0,1440,254,1256.18
01/01/2020 18:00:00,736,0,0,0,1440,254,736.288
01/01/2020 18:15:00,644,0,0,0,1440,254,644.051
01/01/2020 18:30:00,596,0,0,0,1440,254,596.027
01/01/2020 18:45:00,412,0,0,0,1440,254,412.102
01/01/2020 19:00:00,452,0,0,0,1440,254,452
01/01/2020 19:15:00,212,0,0,0,1440,254,212.133
01/01/2020 19:30:00,48,0,0,0,1440,254,48.0908
01/01/2020 19:45:00,8,0,0,0,1440,254,8.02217
01/01/2020 20:00:00,0,0,0,0,1440,254,0.00443694
01/01/2020 20:15:00,0,0,0,0,1440,254,2.454e-06
01/01/2020 20:30:00,0,0,0,0,1440,254,1.35727e-09
01/01/2020 20:45:00,0,0,0,0,1440,254,7.50685e-13
01/01/2020 21:00:00,0,0,0,0,1440,254,4.15192e-16
01/01/2020 21:15:00,0,0,0,0,1440,254,2.29636e-19
01/01/2020 21:30:00,0,0,0,0,1440,254,1.27008e-22
01/01/2020 21:45:00,0,0,0,0,1440,254,7.02462e-26
01/01/2020 22:00:00,0,0,0,0,1440,254,3.88521e-29
01/01/2020 22:15:00,0,0,0,0,1440,254,2.14885e-32
