Date,Solar,Grid IE,Pilot,Charge Power,Min Charge Power,State,Smoothed Available
30/03/2019 07:03:00,51,201,0,0,1440,254,0
30/03/2019 07:04:00,54,208,0,0,1440,254,0
30/03/2019 07:05:00,43,207,0,0,1440,254,0
30/03/2019 07:06:00,44,129,0,0,1440,254,0
30/03/2019 07:07:00,49,142,0,0,1440,254,0
30/03/2019 07:08:00,56,132,0,0,1440,254,0
30/03/2019 07:09:00,52,129,0,0,1440,254,0
30/03/2019 07:10:00,57,132,0,0,1440,254,0
30/03/2019 07:11:00,57,125,0,0,1440,254,0
30/03/2019 07:12:00,49,139,0,0,1440,254,0
30/03/2019 07:13:00,55,141,0,0,1440,254,0
30/03/2019 07:14:00,51,135,0,0,1440,254,0
30/03/2019 07:15:00,60,134,0,0,1440,254,0
30/03/2019 07:16:00,65,128,0,0,1440,254,0
30/03/2019 07:17:00,67,131,0,0,1440,254,0
30/03/2019 07:18:00,77,112,0,0,1440,254,0
30/03/2019 07:19:00,74,106,0,0,1440,254,0
30/03/2019 07:20:00,83,96,0,0,1440,254,0
30/03/2019 07:21:00,88,92,0,0,1440,254,0
30/03/2019 07:22:00,94,77,0,0,1440,254,0
30/03/2019 07:23:00,103,81,0,0,1440,254,0
30/03/2019 07:24:00,107,61,0,0,1440,254,0
30/03/2019 07:25:00,106,51,0,0,1440,254,0
30/03/2019 07:26:00,120,53,0,0,1440,254,0
30/03/2019 07:27:00,119,37,0,0,1440,254,0
30/03/2019 07:28:00,124,49,0,0,1440,254,0
30/03/2019 07:29:00,130,50,0,0,1440,254,0
30/03/2019 07:30:00,117,38,0,0,1440,254,0
30/03/2019 07:31:00,114,45,0,0,1440,254,0
30/03/2019 07:32:00,107,51,0,0,1440,254,0
30/03/2019 07:33:00,112,56,0,0,1440,254,0
30/03/2019 07:34:00,117,53,0,0,1440,254,0
30/03/2019 07:35:00,111,80,0,0,1440,254,0
30/03/2019 07:36:00,112,58,0,0,1440,254,0
30/03/2019 07:37:00,110,59,0,0,1440,254,0
30/03/2019 07:38:00,113,52,0,0,1440,254,0
30/03/2019 07:39:00,103,59,0,0,1440,254,0
30/03/2019 07:40:00,104,62,0,0,1440,254,0
30/03/2019 07:41:00,121,55,0,0,1440,254,0
30/03/2019 07:42:00,115,58,0,0,1440,254,0
30/03/2019 07:43:00,105,52,0,0,1440,254,0
30/03/2019 07:44:00,115,50,0,0,1440,254,0
30/03/2019 07:45:00,109,49,0,0,1440,254,0
30/03/2019 07:46:00,112,85,0,0,1440,254,0
30/03/2019 07:47:00,117,78,0,0,1440,254,0
30/03/2019 07:48:00,115,56,0,0,1440,254,0
30/03/2019 07:49:00,117,49,0,0,1440,254,0
30/03/2019 07:50:00,116,48,0,0,1440,254,0
30/03/2019 07:51:00,119,53,0,0,1440,254,0
30/03/2019 07:52:00,122,41,0,0,1440,254,0
30/03/2019 07:53:00,129,32,0,0,1440,254,0
30/03/2019 07:54:00,123,24,0,0,1440,254,0
30/03/2019 07:55:00,134,25,0,0,1440,254,0
30/03/2019 07:56:00,133,18,0,0,1440,254,0
30/03/2019 07:57:00,144,23,0,0,1440,254,0
30/03/2019 07:58:00,150,15,0,0,1440,254,0
30/03/2019 07:59:00,163,4,0,0,1440,254,0
30/03/2019 08:00:00,162,9,0,0,1440,254,0
30/03/2019 08:01:00,175,0,0,0,1440,254,0
30/03/2019 08:02:00,181,-7,0,0,1440,254,0
30/03/2019 08:03:00,190,12,0,0,1440,254,0
30/03/2019 08:04:00,199,5,0,0,1440,254,0
30/03/2019 08:05:00,202,8,0,0,1440,254,0
30/03/2019 08:06:00,229,-7,0,0,1440,254,0
30/03/2019 08:07:00,238,2,0,0,1440,254,0
30/03/2019 08:08:00,261,-5,0,0,1440,254,0
30/03/2019 08:09:00,282,2,0,0,1440,254,0
